,TXDOT_INCIDENT_ID,TXDOT_INCIDENT_STATUS,MAP_DISPATCHED,DETECTED_BY,VISIBILITY
117,483948,Cleared,1,10,1
118,483947,Cleared,1,9,0
119,483949,Cleared,1,9,0
120,483951,Cleared,1,10,1
121,483951,Cleared,1,10,1
122,483405,Cleared,1,10,1
123,483406,Cleared,1,9,1
124,483439,Cleared,1,2,1
125,483442,Cleared,1,2,1
126,483461,Cleared,1,2,0
127,483468,Cleared,1,6,0
128,483469,Cleared,1,6,1
129,483502,Cleared,1,9,1
130,483513,Cleared,1,9,1
131,483565,Cleared,1,10,1
132,483636,Cleared,1,2,1
133,483639,Cleared,1,2,1
134,483641,Cleared,1,2,0
135,483703,Cleared,1,2,0
136,483707,Cleared,1,2,1
137,483709,Cleared,1,2,1
138,483928,Cleared,1,2,1
139,483959,Cleared,1,9,1
140,483960,Cleared,1,9,0
141,484007,Cleared,1,9,0
142,484008,Cleared,1,9,0
143,484100,Cleared,1,10,0
144,484101,Cleared,1,9,0
145,483566,Cleared,1,10,1
146,483567,Cleared,1,10,1
147,483622,Cleared,1,9,0
148,483683,Cleared,1,2,0
149,483756,Cleared,1,10,0
150,483765,Cleared,1,10,0
151,483820,Cleared,1,9,0
152,483821,Cleared,1,9,0
153,483824,Cleared,1,9,1
154,483825,Cleared,1,9,0
155,483906,Cleared,1,2,1
156,483907,Cleared,1,2,1
157,483908,Cleared,1,2,1
158,484033,Cleared,1,2,0
159,484034,Cleared,1,2,0
160,484035,Cleared,1,2,0
161,483446,Cleared,1,9,1
162,483447,Cleared,1,8,0
163,483448,Cleared,1,8,1
164,483452,Cleared,1,8,1
165,483454,Cleared,1,2,1
166,483643,Cleared,1,9,0
167,483736,Cleared,1,8,0
168,483795,Cleared,1,3,1
169,483803,Cleared,1,9,1
170,483806,Cleared,1,9,1
171,483829,Cleared,1,8,1
172,483830,Cleared,1,8,1
173,483864,Cleared,1,2,0
174,483865,Cleared,1,2,0
175,483976,Cleared,1,10,1
176,483998,Cleared,1,9,0
177,484011,Cleared,1,9,0
178,483599,Cleared,1,2,0
179,483673,Cleared,1,8,0
180,483694,Cleared,1,9,0
181,483700,Cleared,1,2,0
182,483712,Cleared,1,2,0
183,483763,Cleared,1,2,0
184,483764,Cleared,1,2,0
185,483852,Cleared,1,2,0
186,483853,Cleared,1,2,1
187,483854,Cleared,1,2,0
188,483856,Cleared,1,2,0
189,483855,Cleared,1,2,1
190,483857,Cleared,1,2,0
191,483860,Cleared,1,2,0
192,483862,Cleared,1,2,0
193,483904,Cleared,1,2,0
194,483417,Cleared,1,6,0
195,483427,Cleared,1,2,0
196,483437,Cleared,1,2,0
197,483444,Cleared,1,2,0
198,483587,Cleared,1,2,1
199,483589,Cleared,1,3,1
200,483591,Cleared,1,3,1
201,483593,Cleared,1,6,1
202,483592,Cleared,1,2,1
203,483625,Cleared,1,2,1
204,483631,Cleared,1,2,0
205,483745,Cleared,1,2,1
206,483746,Cleared,1,2,1
207,483808,Cleared,1,2,1
208,483832,Cleared,1,2,1
209,483833,Cleared,1,2,1
210,483835,Cleared,1,2,1
211,483848,Cleared,1,2,1
212,483849,Cleared,1,2,1
213,483850,Cleared,1,2,0
214,483851,Cleared,1,2,0
215,484092,Cleared,1,2,0
216,483598,Cleared,1,2,1
217,483605,Cleared,1,2,1
218,483603,Cleared,1,2,1
219,483606,Cleared,1,2,1
220,483615,Cleared,1,2,1
221,483455,Cleared,1,9,1
222,483600,Cleared,1,2,1
223,483608,Cleared,1,2,0
224,483609,Cleared,1,2,0
225,483619,Cleared,1,2,1
226,483646,Cleared,1,2,1
227,483818,Cleared,1,2,1
228,483819,Cleared,1,2,1
229,483879,Cleared,1,2,0
230,483881,Cleared,1,2,0
231,483626,Cleared,1,2,1
232,483627,Cleared,1,2,0
233,483629,Cleared,1,2,1
234,483632,Cleared,1,2,1
235,483633,Cleared,1,2,1
236,483656,Cleared,1,2,1
237,483742,Cleared,1,2,0
238,483547,Cleared,1,6,1
239,483554,Cleared,1,10,1
240,483556,Cleared,1,2,0
241,483559,Cleared,1,2,1
242,483574,Cleared,1,2,0
243,483577,Cleared,1,2,0
244,483822,Cleared,1,2,1
245,483823,Cleared,1,2,1
246,483388,Cleared,1,8,0
247,483407,Cleared,1,8,0
248,483408,Cleared,1,8,0
249,483478,Cleared,1,8,0
250,483500,Cleared,1,8,1
251,483508,Cleared,1,8,1
252,483747,Cleared,1,8,1
253,483794,Cleared,1,8,0
254,483797,Cleared,1,8,0
255,483926,Cleared,1,8,1
256,483993,Cleared,1,9,1
257,483992,Cleared,1,10,0
258,483989,Cleared,1,10,0
259,483443,Cleared,1,6,0
260,483573,Cleared,1,9,1
261,483664,Cleared,1,8,1
262,483667,Cleared,1,2,0
263,483671,Cleared,1,2,0
264,483710,Cleared,1,2,1
265,483723,Cleared,1,2,1
266,483731,Cleared,1,2,1
267,483732,Cleared,1,2,0
268,483887,Cleared,1,2,0
269,483888,Cleared,1,2,0
270,483902,Cleared,1,2,0
271,483971,Cleared,1,9,1
272,484000,Cleared,1,9,0
273,484010,Cleared,1,8,1
274,483400,Cleared,1,2,0
275,483543,Cleared,1,6,1
276,483546,Cleared,1,2,1
277,483550,Cleared,1,2,1
278,483553,Cleared,1,2,1
279,483555,Cleared,1,2,1
280,483558,Cleared,1,2,0
281,483561,Cleared,1,2,0
282,483568,Cleared,1,2,1
283,483576,Cleared,1,2,1
284,483602,Cleared,1,9,1
285,483706,Cleared,1,6,0
286,483719,Cleared,1,2,0
287,483720,Cleared,1,2,0
288,483921,Cleared,1,2,0
289,483932,Cleared,1,9,0
290,483859,Cleared,1,2,0
291,483861,Cleared,1,2,0
292,483334,Cleared,1,9,0
293,483335,Cleared,1,9,0
294,483453,Cleared,1,9,0
295,483964,Cleared,1,8,1
296,483459,Cleared,1,6,1
297,483460,Cleared,1,6,0
298,483498,Cleared,1,10,0
299,483499,Cleared,1,10,0
300,483614,Cleared,1,2,0
301,483616,Cleared,1,2,0
302,483617,Cleared,1,2,1
303,483982,Cleared,1,9,0
304,483831,Cleared,1,10,0
305,483967,Cleared,1,2,0
306,483968,Cleared,1,2,0
307,483419,Cleared,1,2,0
308,483512,Cleared,1,9,1
309,483571,Cleared,1,2,1
310,483620,Cleared,1,2,0
311,483733,Cleared,1,2,0
312,483734,Cleared,1,2,0
313,483735,Cleared,1,2,0
314,483789,Cleared,1,2,0
315,483802,Cleared,1,2,0
316,483805,Cleared,1,2,0
317,483807,Cleared,1,2,0
318,483816,Cleared,1,2,0
319,483817,Cleared,1,2,0
320,483901,Cleared,1,2,1
321,483940,Cleared,1,2,0
322,483961,Cleared,1,2,0
323,483966,Cleared,1,9,0
324,483969,Cleared,1,2,0
325,484004,Cleared,1,9,0
326,483657,Cleared,1,8,1
327,483658,Cleared,1,8,0
328,483662,Cleared,1,8,1
329,483666,Cleared,1,8,1
330,484003,Cleared,1,9,0
331,483663,Cleared,1,9,0
332,483905,Cleared,1,9,0
333,483962,Cleared,1,9,0
334,484006,Cleared,1,9,0
335,483934,Cleared,1,9,0
336,483536,Cleared,1,8,1
337,483560,Cleared,1,8,1
338,483728,Cleared,1,9,1
339,483729,Cleared,1,9,1
340,483779,Cleared,1,2,0
341,483815,Cleared,1,8,1
342,483886,Cleared,1,8,0
343,483338,Cleared,1,9,0
344,483341,Cleared,1,9,0
345,483457,Cleared,1,9,0
346,483458,Cleared,1,9,0
347,483990,Cleared,1,9,1
348,483991,Cleared,1,9,1
349,483826,Cleared,1,2,0
350,483827,Cleared,1,2,0
351,483874,Cleared,1,8,1
352,483875,Cleared,1,8,1
353,483880,Cleared,1,2,0
354,483882,Cleared,1,2,0
355,483936,Cleared,1,2,0
356,484013,Cleared,1,2,1
357,484014,Cleared,1,2,0
358,483674,Cleared,1,9,0
359,483811,Cleared,1,8,0
360,483866,Cleared,1,2,0
361,483867,Cleared,1,2,0
362,483868,Cleared,1,9,0
363,483869,Cleared,1,9,0
364,483922,Cleared,1,10,1
365,483923,Cleared,1,10,1
366,484016,Cleared,1,2,0
367,483430,Cleared,1,10,0
368,483432,Cleared,1,8,0
369,483433,Cleared,1,8,0
370,483604,Cleared,1,10,0
371,483618,Cleared,1,9,0
372,483621,Cleared,1,10,0
373,483647,Cleared,1,10,0
374,483654,Cleared,1,10,0
375,483655,Cleared,1,10,0
376,483682,Cleared,1,9,0
377,483773,Cleared,1,10,0
378,483777,Cleared,1,10,0
379,483782,Cleared,1,10,0
380,483814,Cleared,1,10,0
381,483843,Cleared,1,10,0
382,483846,Cleared,1,10,0
383,483847,Cleared,1,9,0
384,483899,Cleared,1,10,0
385,483912,Cleared,1,9,0
386,484023,Cleared,1,9,0
387,484024,Cleared,1,9,0
388,484026,Cleared,1,9,0
389,483701,Cleared,1,8,0
390,483727,Cleared,1,10,0
391,483730,Cleared,1,3,0
392,483836,Cleared,1,10,0
393,483845,Cleared,1,10,0
394,483396,Cleared,1,9,0
395,483397,Cleared,1,9,0
396,483517,Cleared,1,9,0
397,483518,Cleared,1,8,0
398,483525,Cleared,1,8,0
399,483527,Cleared,1,8,0
400,483534,Cleared,1,10,0
401,483535,Cleared,1,10,0
402,483562,Cleared,1,9,0
403,483563,Cleared,1,9,0
404,483570,Cleared,1,9,0
405,483584,Cleared,1,10,0
406,483590,Cleared,1,10,0
407,483594,Cleared,1,10,0
408,483637,Cleared,1,10,0
409,483638,Cleared,1,10,0
410,483642,Cleared,1,10,0
411,483669,Cleared,1,9,0
412,483753,Cleared,1,10,0
413,483758,Cleared,1,10,0
414,483771,Cleared,1,10,0
415,483800,Cleared,1,10,0
416,483973,Cleared,1,8,0
417,483974,Cleared,1,8,0
418,483975,Cleared,1,10,0
419,483544,Cleared,1,10,0
420,483581,Cleared,1,8,0
421,483661,Cleared,1,10,0
422,483677,Cleared,1,9,0
423,483679,Cleared,1,10,0
424,483698,Cleared,1,8,0
425,483748,Cleared,1,10,0
426,483751,Cleared,1,10,0
427,483766,Cleared,1,10,0
428,483767,Cleared,1,10,0
429,483769,Cleared,1,10,0
430,483778,Cleared,1,10,0
431,483781,Cleared,1,10,0
432,483783,Cleared,1,10,0
433,483784,Cleared,1,10,0
434,483788,Cleared,1,10,0
435,483790,Cleared,1,10,0
436,483796,Cleared,1,10,0
437,483801,Cleared,1,10,0
438,483337,Cleared,1,9,0
439,483754,Cleared,1,10,0
440,483526,Cleared,1,10,1
441,483529,Cleared,1,10,1
442,483895,Cleared,1,9,1
443,483391,Cleared,1,8,1
444,483414,Cleared,1,9,1
445,483436,Cleared,1,9,1
446,483449,Cleared,1,8,0
447,483541,Cleared,1,8,1
448,483668,Cleared,1,8,0
449,483724,Cleared,1,9,0
450,484015,Cleared,1,9,0
451,484074,Cleared,1,8,0
452,483688,Cleared,1,8,1
453,483689,Cleared,1,8,1
454,483980,Cleared,1,9,0
455,483988,Cleared,1,9,1
456,483995,Cleared,1,10,0
457,484001,Cleared,1,10,1
458,484002,Cleared,1,10,1
459,484098,Cleared,1,9,1
460,483538,Cleared,1,8,0
461,483545,Cleared,1,9,0
462,483551,Cleared,1,10,0
463,483580,Cleared,1,8,0
464,483601,Cleared,1,9,0
465,483693,Cleared,1,9,0
466,483740,Cleared,1,8,0
467,484028,Cleared,1,10,0
