   CITY                       ,   LAT,    LON,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,Totals,Sum,IsSum_Total_Same?
Aquilla 1.3 NNE,31.87406131,97.2169648,0.21,0.16,0.8,0.01,0,0,0,,1.18,1.18,1
Aransas  ,28.3044,-96.8234,,,,,,,,,15.33,0,0
Aransas Pass,27.9568,-97.1222,,,,,,,,,6,0,0
Aransas National Estuarine Research Reserve,28.1322,-97.0344,,,,,,,,,12.38,0,0
ARCHER CITY                   ,33.59,-98.64,,,,0,0,,,,0,0,1
ARCHER CITY              5 N,33.66,-98.61,,,0,0,0,,,,0,0,1
Argyle 1.6 NNW,33.13059,97.193155,0.01,0.01,0.03,0.02,0.04,0,0,0,0.11,0.11,1
ARLINGTON                     ,32.74,-97.13,,,0.1,0.7,0.05,0.03,,,0.88,0.88,1
ARLINGTON                     ,32.66,-97.09,,,,0,0.1,0,,,0.1,0.1,1
Arlington 3.8 NNW,32.742222,97.158333,,0,0.03,0.12,,,,,0.15,0.15,1
Armand Bayou @ Beltway 8,29.683502,-95.183473,1,11.52,15.88,10.12,4.84,0,0,,43.36,43.36,1
Armand Bayou @ Genoa-Red Bluff Road,29.633755,-95.114485,1,8.36,18.6,9.76,4.56,0,0,,42.28,42.28,1
Armand Bayou @ Pasadena Lake (Nasa Road 1),29.564191,-95.070795,1.68,5.52,20.68,10.12,3.52,0.04,0,,41.56,41.56,1
ARMSTRONG                4 SE,26.83,-97.71,0.51,,0,0,0,,,,0.51,0.51,1
Arp 5.9 NNW,32.305886801,95.09824905,,0.04,0.3,0.04,0,0,0,0,0.38,0.38,1
Artesia Wells 14.0 SE,28.235,99.067778,,0,0.01,,,,,,0.01,0.01,1
ARTHUR CITY                   ,33.88,-95.5,,,0,0,1.25,0.01,0,,1.26,1.26,1
ARTHUR CITY              3 WSW,33.85,-95.54,,,0,0,1,0,0,,1,1,1
ASPERMONT                1 E,33.15,-100.23,,,0,0,,,,,0,0,1
ASPERMONT                3 NE,33.17,-100.2,,,0,0,,,,,0,0,1
Atascosa 2.3 NE,29.2872924804688,98.7068939208984,,0.41,0.36,,,,,,0.77,0.77,1
ATHENS                   3 SSE,32.16,-95.83,,,0.19,0.03,0,0,0,,0.22,0.22,1
ATHENS                   5 ENE,32.22,-95.77,,,0.21,0.07,0,0,0,,0.28,0.28,1
Athens 10.1 SSW,32.07271111,95.93086667,0,0.04,0.37,0.02,0,0,0.02,0,0.45,0.45,1
ATLANTA                       ,33.12,-94.17,,,,0,0,0,0.21,,0.21,0.21,1
Atlanta 0.3 E,33.11689,94.159809,0,0,0,0,0,0,0.19,0,0.19,0.19,1
Atlanta 14.1 SSE,32.938994,94.04536,,,,,,,0.74,,0.74,0.74,1
Aubrey 2.9 SW,33.2723,97.0148,,0.03,0.06,,,,,,0.09,0.09,1
Aubrey 5.9 SSE,33.227044,96.94331,,,,0,,,,,0,0,1
AUSTIN                        ,30.24,-97.69,0.13,1.18,6.78,1.72,0.01,0,,,9.82,9.82,1
AUSTIN                        ,30.26,-97.77,,0.04,,,,,,,0.04,0.04,1
AUSTIN                        ,30.35,-97.8,0,0.77,4.79,1.28,0.01,0,,,6.85,6.85,1
AUSTIN                        ,30.39,-97.9,0.07,0.67,3.19,0.84,0.01,0,,,4.78,4.78,1
AUSTIN                        ,30.25,-97.72,0.03,1.3,7.58,1.84,0,0,,,10.75,10.75,1
AUSTIN                        ,30.28,-97.65,0.22,1.13,6.14,1.8,0.01,0,,,9.3,9.3,1
AUSTIN                   4 SW,30.24,-97.8,0,1.02,5.45,1.26,0,0,,,7.73,7.73,1
AUSTIN                   7 NW,30.37,-97.79,0,0.86,4.48,1.26,0.02,0,,,6.62,6.62,1
AUSTIN                   8 SSE,30.17,-97.7,0,1.5,7.95,1.52,0.03,,,,11,11,1
AUSTIN                  10 NW,30.35,-97.87,0.01,0.64,4.56,1.04,0.01,0,,,6.26,6.26,1
AUSTIN                  11 NW,30.33,-97.93,0.01,0.58,3.61,0.72,0,0,,,4.92,4.92,1
AUSTIN                  16 NW,30.37,-97.96,0.05,0.54,3.38,0.88,0,0,,,4.85,4.85,1
AUSTIN                  25 NW,30.46,-97.98,0.17,0.55,2.9,1.07,0,0,,,4.69,4.69,1
Austin 0.8 WSW,30.3027896881104,97.7629318237305,,0.87,4.38,1.34,,,,,6.59,6.59,1
Austin 1 ENE,30.28,-97.72,,,,,,,,,3.31,0,0
Austin 1.0 N(45th&ShCrk),30.320713,97.750208,0.04,0.94,5.37,1.68,0.02,0,0,0,8.05,8.05,1
Austin 1.0 NNE,30.318536,97.743766,0.03,0.9,4.6,1.29,0.03,0,0,0,6.85,6.85,1
Austin 1.6 NE,30.324785,97.734624,0,1.81,4.68,1.48,0,0,0,0,7.97,7.97,1
Austin 1.7 NNW(45th&Lp1),30.329002,97.762056,,1.58,4.75,1.62,0,0,0,0,7.95,7.95,1
Austin 10.0 NNW (GrtHills),30.41435,97.766352,0.04,1.52,3.29,1.31,0.03,0,0,0,6.19,6.19,1
Austin 10.5 N,30.4189,97.7578,0.06,0.85,4.68,1.56,0.03,0,,,7.18,7.18,1
Austin 10.8 WSW,30.195271,97.90217,0,0.53,4.58,1.13,0.02,0,0,0,6.26,6.26,1
Austin 13.7 WNW,30.378025,97.933111,,0.72,3.23,0.97,,,,,4.92,4.92,1
Austin 14.7 WSW,30.19801,97.97474,0.15,1.03,5.81,1.24,0.02,,,,8.25,8.25,1
Austin 2 NNE,30.29,-97.73,,,,,,,,,7.08,0,0
Austin 2 NW,30.29,-97.76,,,,,,,,,5.72,0,0
Austin 2.2 NNE,30.334148,97.732739,,5.8,2,0.8,,,,,8.6,8.6,1
Austin 2.6 ENE,30.322693,97.712234,0.03,,,,,0,0,0,0.03,0.03,1
Austin 2.9 NE(Lamar&Arpt),30.339555,97.722753,0.09,3.27,4.57,0.91,0.01,0,0,0,8.85,8.85,1
Austin 2.9 NNW,30.3420581817627,97.7762145996094,0.02,0.82,4.64,1.51,0.03,0,0,0,7.02,7.02,1
Austin 3 NNE,30.3,-97.73,,,,,,,,,6.22,0,0
Austin 3 SE,30.23,-97.71,,,,,,,,,2.9,0,0
Austin 3.9 NNE,30.3574,97.72355,0.28,1.03,6.12,2.05,0.02,0,0,0,9.5,9.5,1
Austin 4 NE,30.32,-97.69,,,,,,,,,4.68,0,0
Austin 4 SSE,30.25,-97.73,,,,,,,,,10.68,0,0
Austin 4.0 SSE,30.251644,97.726151,,0.83,3.7,1.32,0.07,,,,5.92,5.92,1
Austin 4.1 SSW,30.2523,97.7785,0,1.08,4.81,1.33,0,0,,,7.22,7.22,1
Austin 4.1 SW,30.2277973,97.793987,0,1.8,5.2,1.46,,,,,8.46,8.46,1
Austin 4.2 ESE,30.2926788330078,97.681282043457,0.19,2.22,5.44,2.05,,,,,9.9,9.90,1
Austin 4.2 NW(360&Penneb),30.352458,97.794666,0,1.26,3.56,1.34,0,0,0,0,6.16,6.16,1
Austin 4.5 ENE,30.320119,97.677162,0.02,2.18,4.79,1.55,0.02,0,0,0,8.56,8.56,1
Austin 4.5 NNE,30.3693962097168,97.731315612793,0.03,1.5,5.06,1.99,0.03,0,0,0,8.61,8.61,1
Austin 4.7 E(JordanPk),30.31417,97.67283,0.06,1.72,4.47,1.58,0,0,0,0,7.83,7.83,1
Austin 4.7 NNE,30.373405,97.732811,0,1.51,4.68,1.87,0.02,,,,8.08,8.08,1
Austin 5 NNW,30.34,-97.75,,,,,,,,,6.6,0,0
Austin 5.6 WSW,30.280817,97.839183,0,1.41,5.11,1.34,0.01,0,0,0,7.87,7.87,1
Austin 5.8 ENE,30.338787,97.661937,0.1,,,,,,,,0.1,0.1,1
Austin 5.8 ESE,30.260574,97.669399,,,7.71,,,,,,7.71,7.71,1
Austin 5.9 NW,30.372069,97.81338,0.17,0.88,2.65,0.88,0.03,0,0,0,4.61,4.61,1
Austin 6.5 NE,30.383809,97.689473,0.11,1.83,5.01,1.98,0.02,,,,8.95,8.95,1
Austin 7.3 SW,30.207183,97.843988,,1.06,6.6,1.44,,,,,9.1,9.1,1
Austin 7.6 W,30.295181,97.877516,0,0.93,3.49,0.98,0.01,0,0,0,5.41,5.41,1
Austin 7.7 SW,30.23312,97.848038,,1.45,5.85,1.3,0.03,,,,8.63,8.63,1
Austin 7.8 SW,30.231063,97.8476,,1.71,5.82,1.42,,,,,8.95,8.95,1
Austin 7.9 N,30.4178886413574,97.7756805419922,0,,,,,,,,0,0,1
Austin 8.2 WSW,30.228605,97.873889,,1.1,5.61,1.25,0.03,,,,7.99,7.99,1
Austin 8.5 NNW,30.419358,97.805038,0,1.61,4.05,1.22,0.03,,,,6.91,6.91,1
Austin 9.0 SW,30.221936,97.866815,,2.06,3.29,0.94,,,0,,6.29,6.29,1
Austin 9.7 WSW,30.2412948608398,97.9012680053711,,1.33,4.44,0.92,,,,,6.69,6.69,1
Austin 9.8 WSW,30.2413787841797,97.8962020874023,0,0.89,5.17,1.21,0.03,,,,7.3,7.3,1
AUSTIN Bergstrom Int'l AP          ,30.18,-97.68,0,1.24,7,1.83,0,0,,,10.07,10.07,1
AUSTIN City      ,30.3,-97.7,0.02,0.94,5.39,1.6,0.01,0,,,7.96,7.96,1
AUSTIN GREAT HILLS            ,30.42,-97.77,,,4.78,1.31,0.03,0,,,6.12,6.12,1
AUSTWELL                      ,28.39,-96.84,0.65,,,,,,,,0.65,0.65,1
Austwell 0.3 ESE,28.388527,96.838237,0.65,,,,,,,,0.65,0.65,1
Avinger 6.6 S,32.80232,94.55016,,,,,0,0,0.31,0,0.31,0.31,1
Axtell 1.9 SW,31.63775,96.99203,0,0.01,0.56,0.1,0,0,0,0,0.67,0.67,1
Bacliff 0.5 SSE,29.501437,94.9897979,0.71,2.16,21.62,3.09,10.56,2.35,0,0,40.49,40.49,1
Bacliff 1.2 E,29.509724,94.972731,,7.25,11.5,3.15,9.34,,,,31.24,31.24,1
Baird 0.1 WNW,32.3961,99.3967,0.59,0.09,,,,,,,0.68,0.68,1
BALCONES                      ,30.57,-98.04,0.44,0.17,1.92,0.9,0,,,,3.43,3.43,1
BALLINGER                3 NW,31.74,-98.98,0.02,0.1,0,0,,,,,0.12,0.12,1
Bandera 0.2 N,29.728373,99.073475,0,0,0.22,0.02,0,0,0,0,0.24,0.24,1
Bandera 3.2 W,29.720246,99.126232,0,0.25,0.11,0.04,0,0,,,0.4,0.4,1
Bandera 4.0 E,29.7300338745117,99.0073394775391,0,0.03,0.36,0.01,0,0,0,0,0.4,0.4,1
Bandera 4.0 NNW,29.7759037017822,99.1063385009766,0,0.2,0.22,0.05,0,0,0,0,0.47,0.47,1
Bandera 4.7 NE,29.771426,99.016105,0,0.07,0.51,0.02,0,0,0,0,0.6,0.6,1
Bandera 5.2 E,29.7166,98.988,0,0.05,0.3,0.01,0,0,0,0,0.36,0.36,1
Bandera 6.4 N,29.817467,99.08387,0.54,0.17,0.18,,,,,,0.89,0.89,1
Bandera 6.5 NW,29.797582,99.143444,,0.22,0.28,0,0,0,0,0,0.5,0.5,1
Bandera 7.4 ENE,29.77577,98.965209,,,0.75,0.05,,,,,0.8,0.80,1
Bandera 8.4 NE,29.80025,98.96315,,,,0,0,0,0,0,0,0,1
Bandera 8.6 NNW,29.84305,99.11905,0.05,0.3,0.4,,,,,0,0.75,0.75,1
Bankersmith,30.13,-98.82,,,,,,,,,1.52,0,0
Bankersmith 8 WNW,30.2,-98.93,,,,,,,,,1.29,0,0
BARDWELL                      ,32.25,-96.65,,,0.23,0.18,0,,,,0.41,0.41,1
Barker Dam,29.76986,-95.646848,1.2,8.92,17.16,7.4,1.8,0,0,,36.48,36.48,1
BARNHART                10 S,30.99,-101.16,,,0.01,0,,,,,0.01,0.01,1
Bartlett 4 WSW,30.77,-97.47,,,,,,,,,4.46,0,0
Bartlett 5.0 W,30.7922821044922,97.5161819458008,0,0.23,3.17,1.79,0.03,0,0,0,5.22,5.22,1
BASTROP                       ,30.04,-97.31,0.5,2.23,13.94,3.39,0.1,0,,,20.16,20.16,1
Bastrop 0.6 WNW,30.115627,97.314937,0.21,3.47,11,2.3,0,0,0,0,16.98,16.98,1
Bastrop 1 WSW,30.1,-97.33,,,,,,,,,16.4,0,0
Bastrop 1.0 WNW,30.116018,97.322598,,,,,,,0,0,0,0,1
Bastrop 1.2 N,30.1306,97.3025,0.25,2.2,12.96,2.96,0.03,0,0,0,18.4,18.4,1
Bastrop 1.5 NW,30.111778,97.335306,0.44,6.14,8.72,1.42,,0,0,0,16.72,16.72,1
Bastrop 2.1 SSW,30.084116,97.317284,,3.3,9.13,2.89,0.02,,,,15.34,15.34,1
Bastrop 2.4 WNW,30.120665,97.343743,0.78,2.39,11.19,2.56,0.07,0,0,0,16.99,16.99,1
Bastrop 3.0 SSE,30.074126,97.283749,,3.5,13.4,2.6,,0,0,0,19.5,19.5,1
Bastrop 4.4 NE,30.1501903533936,97.2450103759766,0.05,3.35,9.5,3.1,0,0,0,0,16,16,1
Bastrop 4.7 NE,30.166059,97.255333,,3.5,10.86,3.11,0.02,0,0,,17.49,17.49,1
Bastrop 5 S,30.03,-97.32,,,,,,,,,19.62,0,0
Bastrop 5.1 NE,30.168476,97.249812,,10.1,5.22,1.65,0.02,0,0,0,16.99,16.99,1
Bastrop 5.2 SE,30.054658,97.249557,0,3.35,10.7,3.84,0.03,0,0,0,17.92,17.92,1
Bastrop 5.7 NE,30.1709,97.2373,0,3.4,10.61,3.3,0,,,,17.31,17.31,1
Bastrop 5.7 SW,30.0447654,97.3589626,0.39,2.13,12.97,3.75,0.02,0,0,0,19.26,19.26,1
Bastrop 5.8 NE,30.167985,97.232655,0.02,7.32,6.63,3.18,0,0,0,0,17.15,17.15,1
Bastrop 7.2 N,30.215411,97.328436,0,2.87,5.16,2.42,0.05,0,0,0,10.5,10.5,1
Bastrop 7.6 N,30.2211971282959,97.3242416381836,0,2.97,7.58,2.85,0.07,0,0,0,13.47,13.47,1
Bastrop/Cedar Creek,30.09,-97.5,,,,,,,,,15.25,0,0
Batiste Creek @ State Highway 770 (Hull),30.16444,-94.64278,0.27,3.19,11.97,7.32,8.82,1.89,0,,33.46,33.46,1
Batson 2 ENE,30.25,-94.58,,,,,,,,,33.07,0,0
BAY CITY                      ,28.94,-96.01,0.86,8.45,5.36,0.49,7.94,0.01,0,,23.11,23.11,1
Baytown 2 NW,29.77,-95,,,,,,,,,42.9,0,0
Baytown 4 E,29.74,-94.97,,,,,,,,,42.72,0,0
Bayview 2.9 N,26.1669,97.3983,0.54,,0.3,,,,,,0.84,0.84,1
Beamer Ditch @ Hughes Road,29.591725,-95.222089,1.64,13.52,13.4,8.28,3.16,0,0,,40,40,1
Bear Creek @ Clay Road,29.831211,-95.687108,0.84,8.72,16.28,5.16,1.48,0,0,,32.48,32.48,1
Bear Creek @ FM 529,29.875125,-95.769477,0.76,9.24,17.64,4,1.32,0,0,,32.96,32.96,1
Beaumont,30.08,-94.14,,,,,,,,,41.42,0,0
Beaumont,30.08,-94.14,,,,,,,,,38.86,0,0
BEAUMONT                      ,30.1,-94.1,0.05,0.55,4.95,10.18,4.6,14.5,,,34.83,34.83,1
BEAUMONT                10 W,30.07,-94.28,0.05,,,,,,,,0.05,0.05,1
Beaumont 1 ENE,30.09,-94.13,,,,,,,,,38.5,0,0
Beaumont 1 NW,30.09,-94.16,,,,,,,,,41.5,0,0
Beaumont 2 NNW,30.11,-94.16,,,,,,,,,36.22,0,0
Beaumont 2 SE,30.06,-94.12,,,,,,,,,41.42,0,0
Beaumont 2 SW,30.06,-94.17,,,,,,,,,43.23,0,0
Beaumont 2 W,30.08,-94.18,,,,,,,,,41.93,0,0
Beaumont 3 N,30.13,-94.14,,,,,,,,,39.76,0,0
Beaumont 3 NE,30.11,-94.11,,,,,,,,,39.65,0,0
Beaumont 3.3 SW,30.052703,94.181985,0.18,1.34,5.86,12.38,11.32,,1.72,0,32.8,32.80,1
Beaumont 4 NNW,30.14,-94.17,,,,,,,,,39.8,0,0
Beaumont 4 S,30.02,-94.14,,,,,,,,,49.06,0,0
Beaumont 4 SW,30.04,-94.19,,,,,,,,,43.78,0,0
Beaumont 4 WSW,30.06,-94.21,,,,,,,,,46.54,0,0
Beaumont 4.6 S,30.022459,94.155461,0,0.86,9.81,7.52,11,15.31,1,0,45.5,45.5,1
Beaumont 5 NNW,30.15,-94.18,,,,,,,,,41.3,0,0
Beaumont 6 SSW,30,-94.18,,,,,,,,,46.38,0,0
Beaumont Yacht Club @ Neches River,30.09722,-94.09111,0.36,3.11,8.93,5.59,17.41,6.02,0,,41.42,41.42,1
Bedford 0.5 W,32.847326,97.142105,0.01,0,0.17,0.57,0,0,0,0,0.75,0.75,1
Bedford 0.6 NNE,32.854356,97.131006,0.02,0,0.16,0.52,0,0,,,0.7,0.7,1
Bee Cave 1 ESE,30.3,-97.93,,,,,,,,,6.72,0,0
Bee Cave 2.5 ENE,30.323362,97.916501,0,1.15,3.19,0.7,0.02,0,0,0,5.06,5.06,1
Bee Cave 4 SSE,30.26,-97.92,,,,,,,,,4.35,0,0
Beeville 4.5 NW,28.450615,97.803773,2.7,,,0.04,0.1,0,0,0,2.84,2.84,1
Beeville 9.0 S,28.2751067,97.7600733,0.11,2.27,0.74,0.25,0.02,0,0,0,3.39,3.39,1
Beeville 12.6 NNE,28.5825,97.700567,0.02,3.1,1.02,0.9,,,,,5.04,5.04,1
Bellaire 4.2 W,29.6953945159912,95.5300445556641,0.02,2.44,10.87,6.77,6.48,0.49,0,0,27.07,27.07,1
BELLVILLE                     ,30.02,-96.2,,,,,0.78,,0,,0.78,0.78,1
Bellville 0.4 NE,29.9515,96.254409,0.57,4.89,7.68,10.65,0.87,0,0,0,24.66,24.66,1
Bellville 0.9 ENE,29.950791,96.245167,0.46,4.7,6.7,10.39,0.88,0.02,0,,23.15,23.15,1
Bellville 6.5 NNE,30.034102,96.220877,0.13,3.32,4.91,8.61,0.82,0.02,0,0,17.81,17.81,1
BELTON                   5 WSW,31.02,-97.53,0,0.22,1.22,0.44,0,,,,1.88,1.88,1
Belton 0.4 E,31.066986,97.456434,0,0.04,1.13,0.38,0.01,0,0,0,1.56,1.56,1
Belton 1.4 WSW,31.059781,97.484732,0,0.22,,,0,,0,0,0.22,0.22,1
Belton 1.6 W,31.06431,97.49121,0,0.18,1.01,,0,,0,0,1.19,1.19,1
Belton 2.3 NNW,31.098431,97.481556,0,0.02,1.05,0.44,0,0,0,0,1.51,1.51,1
Belton 3.9 N,31.123892,97.473297,0,0.02,1.11,0.43,0.01,0,0,0,1.57,1.57,1
Belton 4.4 WNW,31.0947,97.5319,0.02,0,1.12,0.4,0.02,0,0,0,1.56,1.56,1
Belton 5.4 NW,31.1231,97.52838,0,0.01,0.95,0.51,0,0,0,0,1.47,1.47,1
Belton 6.0 N,31.154547,97.475295,0.21,0.23,0.86,0.55,0.02,0,,0,1.87,1.87,1
Belton 6.4 S,30.975857,97.460482,0,0.3,1.3,1.21,0.03,0,0,0,2.84,2.84,1
Belton 7.4 WSW,31.0438,97.5846,0,0.23,1.5,0.5,0,0,0,,2.23,2.23,1
Ben Wheeler 1.7 WNW,32.451134249568,95.7319457083941,,,0.05,0.02,0,0,0.01,0,0.08,0.08,1
Ben Wheeler 2.4 N,32.480195,95.702584,0,0,0.12,0.01,0,0,0.01,0,0.14,0.14,1
Ben Wheeler 3.9 ESE,32.431226,95.638541,,,,0.05,0,0,0,,0.05,0.05,1
BENBROOK                      ,32.65,-97.44,,,0,0.35,0,,,,0.35,0.35,1
Benbrook 2.1 N,32.7081,97.4603,1.05,0.01,0.06,0.25,,,,,1.37,1.37,1
BEND                          ,31.09,-98.52,0,0,0.05,0.27,0,,,,0.32,0.32,1
BEND                     3 S,31.05,-98.5,0.11,0,0.08,0.14,0,,,,0.33,0.33,1
BENJAMIN                 4 N,33.65,-99.8,,,0,0,,,,,0,0,1
Benjamin 0.2 SSE,33.58027778,99.79222222,0,,,0,0,0,0,0,0,0,1
Berclair 7.3 NW,28.6137776076794,97.6647307723761,0.07,4.33,1.43,1.24,0.03,0,0,0,7.1,7.1,1
Bergstrom 2 SW,30.17,-97.69,,,,,,,,,9.58,0,0
Bergstrom 3 NNW,30.22,-97.68,,,,,,,,,9.64,0,0
Bergstrom 5 N,30.27,-97.67,,,,,,,,,9.05,0,0
Bergstrom 5 NE,30.24,-97.62,,,,,,,,,9.32,0,0
Berry Bayou @ Forest Oaks Boulevard,29.67638882222,-95.24361,1.16,13.64,15.72,9.64,4.72,0,0,,44.88,44.88,1
Berry Bayou @ Nevada Avenue,29.656295,-95.228933,1.48,14.4,14.84,9.24,4.64,0,0,,44.6,44.6,1
Berry Creek,30.7,-97.68,,,,,,,,,4.05,0,0
BERTRAM                  3 ENE,30.76,-98.02,,0.03,1.21,0.58,,,,,1.82,1.82,1
Bertram 6.4 ESE,30.713117,97.9559,0.06,0.41,1.4,,,,,,1.87,1.87,1
Bertram 7 SSW,30.65,-98.08,,,,,,,,,2.75,0,0
BERTRAM 8 SSW,30.64,-98.11,0.01,0.13,1.88,0.81,0.01,,,,2.84,2.84,1
